Playlist Id,Playlist Title,Channel Id,Published At,Playlist Description
PL8uoeex94UhHgMD9GOCbEHWku7pEPx9fW,EuroPython 2020,UC98CzaYuFNAA_gOINFB0e4Q,2020-09-15 08:43:03,"Welcome to EuroPython 2020, held online from July 23-26 ! 

Note: We will release more videos over the coming days/weeks.

Brought to you by the EuroPython 2020 Team and the EuroPython Society.

Enjoy,
--
EuroPython 2020 Team
https://ep2020.europython.eu/
https://www.europython-society.org/

License: Unless otherwise indicated, the videos in this playlist are licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/
Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/"
PL8uoeex94UhG33fVP7GZEo06gOHlhb0hk,EuroPython 2020 - Live Streams,UC98CzaYuFNAA_gOINFB0e4Q,2020-07-25 19:27:06,"These are uncut live streams created during the conference.

Edited videos will be available later in 2020.

License: These videos are licensed under the CC BY-NC-SA 3.0 license: https://creativecommons.org/licenses/by-nc-sa/3.0/
Please see our speaker release agreement for details: https://ep2020.europython.eu/events/speaker-release-agreement/"
PL8uoeex94UhHFRew8gzfFJHIpRFWyY4YW,EuroPython 2019,UC98CzaYuFNAA_gOINFB0e4Q,2019-09-03 16:08:58,"Welcome to EuroPython 2019, July 8-14, 2019, in Basel, Switzerland !

Brought to you by the EuroPython 2019 Team and the EuroPython Society.

Enjoy,
--
EuroPython 2019 Team
https://ep2019.europython.eu/
https://www.europython-society.org/"
PL8uoeex94UhFrNUV2m5MigREebUms39U5,EuroPython 2018,UC98CzaYuFNAA_gOINFB0e4Q,2018-08-22 20:12:42,"Welcome to EuroPython 2018, July 23-29, 2018, in Edinburgh, Scotland, UK !

Brought to you by the EuroPython 2018 Team and the EuroPython Society.

Enjoy,
--
EuroPython 2018 Team
https://ep2018.europython.eu/
http://www.europython-society.org/"
PL8uoeex94UhG24HeepNtb8G4evYvJNR38,EuroPython 2018 - Live Streams,UC98CzaYuFNAA_gOINFB0e4Q,2018-07-15 11:37:34,These are uncut videos of the live streams we had at the conference.
PL8uoeex94UhG9QAoRICebFpeKK2M0Herh,EuroPython 2017,UC98CzaYuFNAA_gOINFB0e4Q,2017-09-17 15:12:33,"Welcome to EuroPython 2017, July 9-16, 2017, in Rimini, Italy !

Note: We will release the videos currently marked as ""private"" over the coming weeks, in batches of one conference day per week.

Brought to you by the EuroPython 2017 Team and the EuroPython Society.

Enjoy,
--
EuroPython 2017 Team
https://ep2017.europython.eu/
http://www.europython-society.org/"
PL8uoeex94UhEP1C94Fgdn3PdXitS8RtOV,EuroPython 2017 - Live Streams,UC98CzaYuFNAA_gOINFB0e4Q,2017-07-17 16:50:52,These are uncut videos of the live streams we had at the conference.
PL8uoeex94UhE3FDvjacSlHFffoNEoPzzm,EuroPython 2016,UC98CzaYuFNAA_gOINFB0e4Q,2016-07-28 19:00:45,
PL8uoeex94UhGGUH0mFb-StlZ1WYGWiJfP,EuroPython 2015,UC98CzaYuFNAA_gOINFB0e4Q,2015-07-14 17:11:32,
PL8uoeex94UhGvfk4HvzqjtiiY8Wx7vouH,EuroPython 2011,UC98CzaYuFNAA_gOINFB0e4Q,2015-04-19 13:18:38,
PL8uoeex94UhFKYBeJWJoRf_AIAej08-2K,EuroPython 2012,UC98CzaYuFNAA_gOINFB0e4Q,2015-04-19 13:06:24,
PL8uoeex94UhF5drIP18ZB9uU3r2P_DARE,EuroPython 2013,UC98CzaYuFNAA_gOINFB0e4Q,2015-04-18 16:50:35,
PL8uoeex94UhEomMao7wuOrOGuj3jxJYlz,EuroPython 2014,UC98CzaYuFNAA_gOINFB0e4Q,2015-04-18 15:56:00,
